시도,시군구,시설명,시설유형,시설종류,주소,전화번호
부산광역시,기장군,정관자연노인요양공동생활가정,노인의료복지시설,노인요양공동생활가정,"부산광역시 기장군 정관읍 용수1길 16-4, 1층",
부산광역시,기장군,송암노인복지센터,재가노인복지시설,재가노인복지시설,부산광역시 기장읍 배산로56번길 26-16,051-723-0315
부산광역시,기장군,정관노인복지센터,재가노인복지시설,재가노인복지시설,부산광역시 정관읍 곰내길 574,051-710-7019
부산광역시,기장군,기장군재가노인복지센터,재가노인복지시설,재가노인복지시설,부산광역시 기장읍 대청로22번길 61,051-792-4807
부산광역시,기장군,다인재가노인복지센터,재가노인복지시설,재가노인복지시설,부산광역시 장안읍 오리길 376-28,051-723-6636
부산광역시,기장군,칠암재가복지센터,재가노인복지시설,재가노인복지시설,부산광역시 일광읍 칠암3길 14,051-727-3990
부산광역시,기장군,"""(기장)효사랑데이케어센터2",재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로 376, 2,3,4층",051-724-3060
부산광역시,기장군,도담 재가노인복지센터,재가노인복지시설,재가노인복지시설,부산광역시 정관읍 가동1길 10,051-728-0097
부산광역시,기장군,에벤에셀 실버복지원,재가노인복지시설,재가노인복지시설,부산광역시 기장읍 차성서로101번길 12-3,051-721-7750
부산광역시,기장군,해강 재활주야간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 용수1길 16-4 2,3층",051-727-7997
부산광역시,기장군,효성방문요양센터,재가노인복지시설,재가노인복지시설,부산광역시 장안읍 오리길 109,051-714-3745
부산광역시,기장군,공원실버케어센터,재가노인복지시설,재가노인복지시설,부산광역시 장안읍 장안산단4로 17,051-728-3720
부산광역시,기장군,소풍노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 장안읍 해맞이로 366, 2층 1호",051-727-0754
부산광역시,기장군,협동조합 소풍,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로277번길 17, 2층",051-722-6566
부산광역시,기장군,공감데이케어센터,재가노인복지시설,재가노인복지시설,부산광역시 기장읍 대청로14번길 3,051-722-1101
부산광역시,기장군,가예재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 용수공단2길 64-20, 216호",051-728-6711
부산광역시,기장군,돌봄사회서비스센터,재가노인복지시설,재가노인복지시설,"부산광역시 장안읍 좌천2길 43-6, 102호",051-723-0235
부산광역시,기장군,사랑노인주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 정관로 579, 501호",051-728-7707
부산광역시,기장군,효경재가복지센터,재가노인복지시설,재가노인복지시설,부산광역시 장안읍 좌천로 100,051-727-9362
부산광역시,기장군,일신주간보호센터,재가노인복지시설,재가노인복지시설,부산광역시 정관읍 매곡길 38,051-727-3185
부산광역시,기장군,한아름재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 읍내로 17, 2층 2호",051-903-1368
부산광역시,기장군,굿모닝주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 대청로 42, 5층",051-949-3533
부산광역시,기장군,머쉬온통합재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 구연2로 36, 1층",051-727-7985
부산광역시,기장군,백세방문요양센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성동로 177, 2층",051-724-0112
부산광역시,기장군,커뮤니티숲-정관의료기,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 정관5로 12, 228동 141호(정관2차동원로얄듀크)",051-728-8878
부산광역시,기장군,다누리통합재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로 358, 3층",051-723-3996
부산광역시,기장군,효드림주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 정관중앙로 45, 709 외호 (탑스퀘어)",051-911-7770
부산광역시,기장군,기장소망재가센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 기장대로 470, 201호(씨앤스타빌)",051-944-4022
부산광역시,기장군,백촌라이프케어재가센터,재가노인복지시설,재가노인복지시설,"부산광역시 장안읍 해맞이로 9, 202호(무지개빌딩)",051-728-8892
부산광역시,기장군,A착한노인주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로 233, 2층",051-724-3990
부산광역시,기장군,좌천노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 장안읍 좌천로 59, 1층",051-727-5040
부산광역시,기장군,케어링 주간보호센터 부산 기장점,재가노인복지시설,재가노인복지시설,"부산광역시 일광읍 해빛1로 99, 4,5,6층 601, 602호",051-723-6585
부산광역시,기장군,가동재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 가동1길 18, 101호 ",051-727-8509
부산광역시,기장군,부산혜림재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 달산1길 69, 101호(늘해늘)",051-728-0977
부산광역시,기장군,누리재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 일광읍 해송3로 12, 403호(경보이리스오션일광역오피스텔)",051-516-6892
부산광역시,기장군,민혜재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성서로 111, 1층",051-723-2128
부산광역시,기장군,해맑음재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 일광읍 삼성3길 1-9, 1층",051-724-6439
부산광역시,기장군,케어신재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 장안읍 좌천2길 21-2, 1층",051-727-0542
부산광역시,기장군,미소재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 정관로 350, 321동 304호",051-728-8837
부산광역시,기장군,햇살가득재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로 288번길 44, 202호",051-722-0979
부산광역시,기장군,동행케어링노인주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로441번길 15, 3층",051-711-5499
부산광역시,기장군,대산재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성서로 123, 상가동 102호(주공아파트)",051-723-1518
부산광역시,기장군,별사랑재가노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 구연2로 33-4, 101호",051-728-4008
부산광역시,기장군,새한누리주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 정관읍 정관로 569, 8층(제일타워)",051-728-0833
부산광역시,기장군,기장진재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 기장대로 85, 102호",051-723-0885
부산광역시,기장군,A누리고재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로288번길 71, 2층",051-722-5001
부산광역시,기장군,보름달재가복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 당사로5길 7-3, 1층 101, 102호",070-8018-9511
부산광역시,기장군,신기의료기 기장점,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성로 326번길 8, 1층",051-723-6244
부산광역시,기장군,아리랑재가방문요양센터,재가노인복지시설,재가노인복지시설,"부산광역시 기장읍 차성남로39, 2층",051-723-0706
부산광역시,기장군,부산기장시니어클럽,노인일자리지원기관,노인일자리지원기관,부산광역시 기장군 기장읍 차성로288번길 68,051-722-2170
부산광역시,기장군,철마노인대학,노인교실,노인교실,"기장군 철마면 개좌로 822, 4층",
부산광역시,기장군,기장군지회부설노인대학,노인교실,노인교실,기장군 기장읍 차성로333번길 4,
